hour,swaps,unserved,pv_kW,grid_kWh,total_charge,total_discharge,PLN_store_cost,PLN_BSS_cost,PLN_total_cost,PLN_store_revenue,Solar_store_revenue,Swap_revenue,Net_profit_hour,slot0_state,slot0_soc_start,slot0_soc_end,slot1_state,slot1_soc_start,slot1_soc_end,slot2_state,slot2_soc_start,slot2_soc_end,slot3_state,slot3_soc_start,slot3_soc_end,slot4_state,slot4_soc_start,slot4_soc_end,slot5_state,slot5_soc_start,slot5_soc_end,slot6_state,slot6_soc_start,slot6_soc_end,slot7_state,slot7_soc_start,slot7_soc_end
0,0,0,0,0,0,6.4,2380.5,0,2380.5,0,0,0,-2380.5,D,2.7,2.7,D,2.7,2.7,D,2.7,2.7,D,2.7,2.7,D,2.7,2.7,D,2.7,2.7,D,2.7,2.7,D,2.7,2.7
1,0,0,0,2.3,0,0,2380.5,2380.5,4761,2380.5,0,0,-2380.5,IF,2.7,2.7,IF,2.7,2.7,IF,2.7,2.7,IF,2.7,2.7,IF,2.7,2.7,IF,2.7,2.7,IF,2.7,2.7,IF,2.7,2.7
2,0,0,0,2.3,0,0,2380.5,2380.5,4761,2380.5,0,0,-2380.5,IF,2.7,2.7,IF,2.7,2.7,IF,2.7,2.7,IF,2.7,2.7,IF,2.7,2.7,IF,2.7,2.7,IF,2.7,2.7,IF,2.7,2.7
3,0,0,0,2.3,0,0,2380.5,2380.5,4761,2380.5,0,0,-2380.5,IF,2.7,2.7,IF,2.7,2.7,IF,2.7,2.7,IF,2.7,2.7,IF,2.7,2.7,IF,2.7,2.7,IF,2.7,2.7,IF,2.7,2.7
4,0,0,0,2.3,0,0,2380.5,2380.5,4761,2380.5,0,0,-2380.5,IF,2.7,2.7,IF,2.7,2.7,IF,2.7,2.7,IF,2.7,2.7,IF,2.7,2.7,IF,2.7,2.7,IF,2.7,2.7,IF,2.7,2.7
5,0,0,0,2.3,0,0,2380.5,2380.5,4761,2380.5,0,0,-2380.5,IF,2.7,2.7,IF,2.7,2.7,IF,2.7,2.7,IF,2.7,2.7,IF,2.7,2.7,IF,2.7,2.7,IF,2.7,2.7,IF,2.7,2.7
6,0,0,0,0,0,5.6,2380.5,0,2380.5,0,0,0,-2380.5,D,2.7,1.9,D,2.7,1.9,D,2.7,1.9,D,2.7,1.9,D,2.7,1.9,D,2.7,1.9,D,2.7,1.9,IF,2.7,2.7
7,1,0,0.16,0,0,5.6,2215.620117,0,2215.620117,164.8800049,197.8500061,50000,48147.10156,D,1.9,1.1,D,1.9,1.1,D,1.9,1.1,D,1.9,1.1,D,1.9,1.1,D,1.9,1.1,D,1.9,1.1,SID,2.7,0
8,1,0,0.72,0,0,0,0,0,0,0,0,50000,50000,ID,1.1,1.1,ID,1.1,1.1,ID,1.1,1.1,ID,1.1,1.1,ID,1.1,1.1,ID,1.1,1.1,ID,1.1,1.1,SID,0,0
9,8,1,1.33,0,0,0,0,0,0,0,0,400000,400000,SID,1.1,0,SID,1.1,0,SID,1.1,0,SID,1.1,0,SID,1.1,0,SID,1.1,0,SID,1.1,0,SID,0,0
10,0,0,1.78,4.62,6.4,0,0,4785.22,4785.22,0,0,0,-4785.22,CS,0,0.8,CS,0,0.8,CM,0,0.8,CG,0,0.8,CG,0,0.8,CG,0,0.8,CG,0,0.8,CG,0,0.8
